event_type,x,y,x2,y2,team,opponent,match_id,phase,player,receiver,outcome,shot_result,body_part,minute,second,period,shirt_number,sequence_id
shot,77.66293074612666,64.36760480803859,79.7411923635989,44.350282235592836,Al Ahly,Rivals FC,M1,final-third,Salah,Salah,successful,Goal,right foot,24,16,1,20,
pass,82.95515636707287,62.989145489435195,96.52719933330076,61.58684079390107,Al Ahly,Rivals FC,M2,progression,Kahraba,Zizo,unsuccessful,,right foot,77,7,1,25,S2
pass,67.34050230721738,96.14985269444286,87.31048714491794,96.09745787704911,Al Ahly,Rivals FC,M3,progression,Dieng,Marwan,unsuccessful,,left foot,10,26,1,9,
duel,71.40706997503189,11.860919317492524,69.35222840528837,3.5655603054798277,Al Ahly,Rivals FC,M1,build-up,,Zizo,successful,,right foot,44,28,1,24,
pass,75.69354362802615,38.50859214098126,93.38837291212644,45.31870775080163,Al Ahly,Rivals FC,M2,final-third,,Zizo,successful,,head,42,39,1,19,
pass,58.6986365768809,3.3752079636670707,70.08713267807197,0.0,Al Ahly,Rivals FC,M1,progression,Marwan,Salah,successful,,left foot,76,28,2,26,
recovery,43.26275038805723,28.174500121657708,59.629351427825725,40.38131067563636,Zamalek,Rivals FC,M3,build-up,Salah,Salah,unsuccessful,,left foot,86,12,1,16,
carry,89.85069505306053,99.84007808800833,94.49946668527635,92.9002778716215,Zamalek,Rivals FC,M2,build-up,,,successful,,left foot,81,49,1,25,S3
recovery,16.04282536909786,38.16326585399743,26.95702759505435,47.47659851747737,Zamalek,Rivals FC,M2,progression,Zizo,,successful,,right foot,45,46,2,24,
carry,12.867051555790832,82.5535569871748,28.27230581109129,79.14636510303839,Al Ahly,Rivals FC,M2,progression,Zizo,Zizo,successful,,left foot,28,30,2,19,S3
pass,31.26238632396111,86.22968767365148,60.82650102525329,86.71870464396339,Al Ahly,Rivals FC,M1,final-third,Zizo,Salah,unsuccessful,,right foot,23,38,1,15,S1
carry,23.47211337188847,53.98665916749882,42.05762125053281,60.446303971634805,Al Ahly,Rivals FC,M1,build-up,,Zizo,successful,,head,2,42,1,17,S2
interception,97.3674189298312,83.10793243653949,100.0,66.0193523609913,Zamalek,Rivals FC,M2,build-up,,,unsuccessful,,right foot,84,38,2,10,
cross,53.058505768894214,21.430696586293063,51.25411452359904,11.473263561801012,Zamalek,Rivals FC,M2,final-third,,Marwan,successful,,left foot,22,47,1,9,S3
tackle,88.45956766336185,7.6465744991363715,100.0,5.731307885040588,Al Ahly,Rivals FC,M3,final-third,Salah,Marwan,unsuccessful,,left foot,72,1,1,24,S3
pass,55.243206977160185,20.491310486491464,59.69302692242766,16.063379815664398,Zamalek,Rivals FC,M1,progression,Kahraba,,unsuccessful,,left foot,51,44,1,16,S2
pass,21.715665052683995,9.672483580391699,32.355243462195276,11.687236140262744,Al Ahly,Rivals FC,M3,build-up,Salah,Zizo,unsuccessful,,right foot,81,42,1,12,
recovery,87.49892669232,9.782551268083417,100.0,0.0,Al Ahly,Rivals FC,M3,build-up,Zizo,Zizo,successful,,right foot,11,25,2,25,S1
shot,89.76669630941527,4.692955058101756,100.0,0.0,Al Ahly,Rivals FC,M2,progression,Salah,Zizo,successful,Off Target,left foot,8,21,2,8,
cross,12.375249826435708,7.180872520614545,29.76786018886635,4.786147931932856,Al Ahly,Rivals FC,M2,progression,Zizo,Salah,unsuccessful,,right foot,45,47,2,6,
shot,98.47509970904981,11.123152624483545,89.99226343892015,13.459941337253532,Al Ahly,Rivals FC,M2,progression,,,successful,Goal,right foot,47,22,1,2,S2
interception,56.86673455002648,54.77291823652494,67.74826689723886,43.974752984461745,Al Ahly,Rivals FC,M2,progression,Kahraba,Zizo,successful,,head,56,2,2,12,S3
shot,94.73516232396904,30.12820650836625,43.07429719803392,43.60150114698106,Al Ahly,Rivals FC,M2,progression,Kahraba,Salah,successful,Off Target,right foot,32,55,1,22,S1
carry,33.736547259353244,99.17137452253843,36.31152624310689,100.0,Al Ahly,Rivals FC,M3,build-up,Zizo,Salah,unsuccessful,,left foot,63,0,1,13,
cross,73.40674559756496,62.88844168103627,85.31550862439956,72.01932356133955,Zamalek,Rivals FC,M1,build-up,Zizo,Salah,successful,,left foot,14,58,2,14,S1
shot,83.1608265557698,93.6380805144483,44.08530872620845,100.0,Al Ahly,Rivals FC,M1,progression,Marwan,Marwan,unsuccessful,Saved,head,26,22,2,11,S2
pass,60.72522276325951,73.29933941652463,70.31044645421011,62.02267809226145,Al Ahly,Rivals FC,M3,progression,Kahraba,Marwan,successful,,head,73,51,1,14,S3
shot,97.30165170310374,89.82316850636974,73.21358249417655,100.0,Al Ahly,Rivals FC,M2,progression,,Marwan,unsuccessful,Off Target,right foot,5,55,2,15,
dribble,53.0711408067974,94.38792607268536,73.6009155563503,85.03525601465248,Al Ahly,Rivals FC,M2,build-up,,Marwan,unsuccessful,,left foot,5,3,2,26,S1
recovery,18.21719505148166,38.93493787276815,49.717506645485386,42.75608221517799,Al Ahly,Rivals FC,M1,progression,Dieng,Salah,successful,,left foot,57,9,1,27,S3
carry,82.52631751394044,23.430665698963715,100.0,31.54368299286964,Al Ahly,Rivals FC,M2,build-up,,Salah,successful,,right foot,3,26,2,6,
pass,54.043471687264685,8.067809370225742,48.985101094561166,11.580262796699678,Al Ahly,Rivals FC,M3,final-third,Zizo,Zizo,successful,,right foot,17,14,2,10,
carry,68.92617043573387,96.44223190711688,80.48414004112036,98.3034428113728,Al Ahly,Rivals FC,M3,build-up,,,successful,,head,76,54,1,13,S1
interception,62.749827696778404,23.90513648707642,77.2432601046812,13.866726515011097,Zamalek,Rivals FC,M1,build-up,Kahraba,,unsuccessful,,left foot,53,19,2,20,S3
shot,89.17723199529496,98.14415986683026,51.86101642140478,93.16139355099776,Al Ahly,Rivals FC,M3,build-up,Salah,Zizo,successful,Blocked,right foot,35,23,1,16,
shot,82.96729553849318,72.76819880420327,89.07989902779968,73.03400375460188,Zamalek,Rivals FC,M2,final-third,Zizo,Marwan,unsuccessful,Off Target,head,85,15,1,6,S1
pass,39.7373211234388,81.43049389279219,70.21011168398796,96.99768112224417,Zamalek,Rivals FC,M1,progression,Kahraba,Salah,successful,,left foot,4,28,1,10,
pass,92.24441342808905,3.553893575566147,100.0,0.0,Zamalek,Rivals FC,M3,build-up,Kahraba,Marwan,successful,,right foot,48,10,1,5,
duel,45.795539270211485,91.22061379415744,45.31485297616012,99.57553174445366,Zamalek,Rivals FC,M3,progression,,Salah,successful,,head,4,19,2,2,
pass,19.45023616968419,8.270022679553025,24.444194725530338,13.693038854811583,Al Ahly,Rivals FC,M2,progression,Zizo,Zizo,unsuccessful,,right foot,22,50,2,10,S3
interception,46.4773694770299,80.89052039370438,37.01720580852747,82.18074701216382,Al Ahly,Rivals FC,M2,progression,Kahraba,Marwan,unsuccessful,,left foot,43,24,2,25,S3
interception,39.3923100445966,3.484769092836981,68.13007628508079,0.0,Al Ahly,Rivals FC,M1,progression,Salah,Marwan,successful,,head,9,27,2,21,S3
tackle,95.14019311757733,94.99902698253676,100.0,93.73709812359888,Al Ahly,Rivals FC,M2,build-up,Zizo,Zizo,successful,,head,14,24,2,11,S2
pass,30.79752599897868,5.753838913130826,40.532866136549174,0.0,Al Ahly,Rivals FC,M1,progression,Dieng,,successful,,right foot,30,26,2,18,S3
pass,88.96324730155139,15.949997307455588,84.12036618525563,17.810774341891776,Al Ahly,Rivals FC,M1,build-up,,Salah,unsuccessful,,left foot,48,58,1,9,
clearance,2.5628906603091695,45.24309262111805,9.141270449580908,49.80250157079358,Zamalek,Rivals FC,M3,final-third,Salah,,successful,,right foot,70,57,1,25,
pass,13.43612346820835,17.406762662521125,28.684572788111122,11.93433887039972,Al Ahly,Rivals FC,M2,final-third,Dieng,Salah,successful,,left foot,24,2,1,13,S1
pass,29.461889959385847,11.165078621372771,36.22316058137336,18.276208480256948,Al Ahly,Rivals FC,M2,final-third,Salah,,successful,,left foot,61,29,2,19,S1
pass,74.11384789275418,36.43965741316261,80.91919293578269,41.08742895284543,Al Ahly,Rivals FC,M2,build-up,Dieng,,successful,,head,1,28,1,25,S2
shot,98.62031147025158,5.754429525879368,64.66278441689741,0.0,Zamalek,Rivals FC,M1,progression,,Salah,unsuccessful,Off Target,right foot,52,59,1,3,S2
pass,41.63455231878852,57.898076258405226,72.30663785440339,68.91496824497608,Al Ahly,Rivals FC,M1,final-third,Dieng,Salah,successful,,left foot,29,45,1,3,S1
carry,41.36735471375207,73.74738132525131,46.4100534188167,68.36050997814768,Zamalek,Rivals FC,M1,progression,Marwan,,successful,,left foot,47,51,2,11,S2
shot,81.7113299237754,49.886296060659916,80.00503538448547,79.82917247610048,Al Ahly,Rivals FC,M3,progression,Kahraba,Salah,successful,Blocked,left foot,60,46,2,9,S3
duel,21.71426076550389,56.6244669536814,26.95492081544034,45.34953621295274,Al Ahly,Rivals FC,M3,final-third,,,successful,,head,0,7,2,6,
pass,78.75688350644793,24.739189040637388,85.62146375395453,16.104108719914777,Al Ahly,Rivals FC,M3,build-up,Dieng,,successful,,right foot,7,28,1,3,S3
recovery,37.31392333817396,47.03108307595977,46.70787739238176,40.47141237556426,Al Ahly,Rivals FC,M3,progression,Kahraba,,successful,,head,4,14,1,9,S2
carry,69.26240800258158,62.53516775410862,77.07723505853969,66.46195838609485,Zamalek,Rivals FC,M3,progression,Dieng,Salah,successful,,left foot,88,7,1,19,
carry,81.66510105179513,93.38776601003286,80.589179812047,100.0,Al Ahly,Rivals FC,M3,final-third,Kahraba,,successful,,head,93,5,1,25,
cross,42.95001388940878,52.226203064018705,51.119461450969794,54.39801070819654,Zamalek,Rivals FC,M3,progression,Salah,Salah,successful,,right foot,7,28,2,7,S2
pass,19.470828585871345,98.26307481936048,33.54128435967933,94.52884204714907,Al Ahly,Rivals FC,M1,final-third,Salah,Marwan,successful,,left foot,52,9,1,27,S2
clearance,24.054434336811614,39.881602051223794,19.994546161894643,63.75088783523681,Al Ahly,Rivals FC,M3,final-third,Salah,,successful,,right foot,65,8,2,11,
pass,24.675144942025963,60.52184181149437,54.819435796940326,73.81546563701367,Al Ahly,Rivals FC,M1,final-third,Dieng,Salah,unsuccessful,,right foot,41,45,2,11,
carry,9.58940129728363,73.05397943337883,36.91138704740325,70.73134679276117,Al Ahly,Rivals FC,M3,progression,Zizo,Salah,unsuccessful,,left foot,83,12,2,6,S2
pass,42.714615216893456,10.354745558507972,34.40941906996915,10.019682228603088,Al Ahly,Rivals FC,M2,final-third,Zizo,Marwan,successful,,right foot,22,16,2,4,S2
dribble,64.44437394910622,83.30541517239715,70.79478899446137,65.92895141143805,Al Ahly,Rivals FC,M1,progression,Dieng,Salah,successful,,head,61,37,1,5,
clearance,38.706934953077536,83.11508898084742,59.01050735233469,84.54203659368243,Zamalek,Rivals FC,M3,final-third,Zizo,Zizo,successful,,head,18,5,2,8,
clearance,95.66228344448417,11.707699405634697,100.0,33.28938549456627,Al Ahly,Rivals FC,M2,progression,Dieng,Salah,unsuccessful,,head,24,32,1,14,
pass,93.94619945751423,65.80391813489214,100.0,52.765083702190985,Al Ahly,Rivals FC,M3,build-up,Zizo,Zizo,successful,,head,38,40,1,21,
dribble,77.67790688317831,41.36581630551019,69.01606016875613,25.278739448853667,Zamalek,Rivals FC,M3,progression,Zizo,Marwan,successful,,right foot,80,25,2,5,S1
clearance,79.34066571608805,18.053586638742168,78.1502244642847,20.522922238462865,Al Ahly,Rivals FC,M2,final-third,Salah,Salah,successful,,right foot,37,21,2,27,S1
pass,31.30423619545919,21.605977687327073,36.169376702574084,0.0,Al Ahly,Rivals FC,M3,progression,Zizo,,unsuccessful,,left foot,34,18,2,18,
pass,75.81658775930114,13.87417232920054,91.484533089528,31.374036378397566,Al Ahly,Rivals FC,M2,progression,Dieng,Zizo,successful,,head,69,28,2,23,
duel,5.262490690202382,92.90511995328491,4.455840926591488,75.54016496548773,Al Ahly,Rivals FC,M2,progression,Salah,Zizo,unsuccessful,,left foot,55,48,1,25,S2
duel,1.9768816491200547,82.33609024586009,16.50054551729042,74.39475317252297,Zamalek,Rivals FC,M2,final-third,Marwan,,unsuccessful,,right foot,3,50,2,10,S3
carry,6.812469061329962,73.74777844910871,21.566246913929866,72.51056448563898,Al Ahly,Rivals FC,M1,build-up,Zizo,Salah,successful,,left foot,79,2,1,26,
dribble,31.720508546616657,18.116937353114615,49.215462383263116,33.132200635521755,Al Ahly,Rivals FC,M3,progression,,Salah,successful,,left foot,21,30,1,19,
shot,85.6548987512137,73.3810736054648,69.83185917430555,78.68029118860017,Al Ahly,Rivals FC,M2,progression,,Marwan,unsuccessful,Saved,right foot,69,10,1,27,
pass,3.134011841518136,26.66912546353708,15.374200213558188,4.419191661097646,Al Ahly,Rivals FC,M3,final-third,Dieng,Marwan,successful,,right foot,25,55,2,15,S2
shot,82.90380616595766,50.94359454197714,49.34660390432118,31.135337948889745,Al Ahly,Rivals FC,M1,progression,Dieng,Marwan,unsuccessful,Off Target,left foot,63,17,2,6,
cross,59.59187420256864,2.135645692039012,65.6666079466701,4.948634067479825,Zamalek,Rivals FC,M2,progression,Marwan,Marwan,unsuccessful,,left foot,26,36,1,29,
shot,75.54575716549925,91.36208036450104,100.0,66.54599437170229,Al Ahly,Rivals FC,M3,progression,Kahraba,Salah,unsuccessful,Off Target,left foot,51,26,1,5,S2
carry,56.32178039381412,34.505675534853395,63.74825535266503,31.20106233950744,Al Ahly,Rivals FC,M2,progression,Marwan,,successful,,left foot,3,24,2,27,
pass,24.55286768447579,69.37891626955539,49.70919184957158,59.632262815628586,Al Ahly,Rivals FC,M3,final-third,Dieng,Zizo,successful,,right foot,71,55,2,22,S1
carry,8.635618631452392,11.872831494454383,13.070571805507477,21.564951962035465,Zamalek,Rivals FC,M2,progression,,Salah,unsuccessful,,head,20,22,2,8,
tackle,50.65218385960778,19.633715846087853,78.49346947976662,34.128846920308256,Al Ahly,Rivals FC,M2,progression,Kahraba,Zizo,successful,,head,38,6,1,14,
pass,80.62941273401397,75.92444566535934,100.0,45.78017111645381,Al Ahly,Rivals FC,M1,progression,Kahraba,,successful,,head,14,5,1,28,S1
pass,83.19076409130133,70.21518913488859,85.44458713666488,75.31609291310673,Al Ahly,Rivals FC,M3,final-third,Kahraba,Zizo,successful,,right foot,11,24,1,12,S1
pass,61.96290188241483,60.74321708081561,76.0425246990938,68.33173703750269,Al Ahly,Rivals FC,M3,progression,,Marwan,successful,,left foot,71,55,1,25,S1
interception,17.998650251718896,39.197897426808005,31.88137898942663,29.8745322025052,Al Ahly,Rivals FC,M2,final-third,Marwan,Salah,successful,,right foot,81,53,1,3,S1
block,7.4978966500132245,63.5757553111249,8.305794671250606,56.21588752522541,Al Ahly,Rivals FC,M1,build-up,Zizo,Salah,successful,,left foot,41,59,1,5,S2
pass,4.825470913183205,90.71227202165952,23.576052286467828,76.10821521494678,Al Ahly,Rivals FC,M2,progression,,Salah,successful,,head,39,29,1,15,S1
pass,26.981747192575156,82.40933718809518,43.83671283006389,78.02154672760558,Al Ahly,Rivals FC,M2,final-third,Kahraba,Zizo,successful,,left foot,16,32,1,27,S2
pass,53.39023720931161,79.01063230302405,55.38946452909476,83.60301063794516,Zamalek,Rivals FC,M1,build-up,Zizo,Zizo,successful,,right foot,33,58,2,14,S2
dribble,14.942201564037305,44.76675406362081,26.832049512868135,60.52748790924538,Zamalek,Rivals FC,M3,build-up,,Marwan,unsuccessful,,left foot,11,48,1,18,
carry,62.00324183283564,45.047283200268396,81.97375256435606,61.98606290056989,Zamalek,Rivals FC,M1,build-up,,Zizo,successful,,head,83,54,1,29,
recovery,31.44801307254925,90.01060192704796,40.7874847248875,86.23755039897024,Zamalek,Rivals FC,M1,final-third,Salah,,successful,,right foot,52,8,1,28,S1
pass,78.97028233356582,27.581413698484457,82.69576439014463,17.23049106402342,Zamalek,Rivals FC,M1,build-up,,Marwan,successful,,head,84,27,1,28,
interception,53.050119957216104,53.28269577313307,80.72791136151568,64.87399804829073,Al Ahly,Rivals FC,M1,build-up,Dieng,,successful,,head,90,5,1,27,S2
carry,76.73311380131899,21.551732676390635,77.81239072995363,0.0,Al Ahly,Rivals FC,M2,build-up,Zizo,Zizo,successful,,left foot,18,32,1,9,S3
recovery,25.670695479393522,44.66346638710989,40.23131603767848,27.41537207433775,Al Ahly,Rivals FC,M2,final-third,Dieng,,unsuccessful,,left foot,77,2,2,7,
recovery,56.965964187132144,23.668340551829438,79.51114328132782,30.918416017248916,Al Ahly,Rivals FC,M3,progression,,Marwan,successful,,head,10,42,2,19,S1
clearance,88.67331552956344,87.97679328739363,100.0,100.0,Al Ahly,Rivals FC,M2,progression,Marwan,Salah,unsuccessful,,right foot,35,3,2,11,S2
carry,1.6597976760807542,90.50181050521641,0.0,80.6377204296352,Zamalek,Rivals FC,M2,build-up,Zizo,Salah,successful,,left foot,18,56,1,6,S2
dribble,93.30522854533075,36.16227682312624,100.0,36.917657657500406,Zamalek,Rivals FC,M3,final-third,Marwan,Zizo,successful,,head,23,34,2,28,S2
cross,59.1404233156398,79.07284380424757,69.07409310762267,65.21514224753905,Al Ahly,Rivals FC,M3,progression,Marwan,,successful,,left foot,94,8,2,9,S3
pass,99.74907958021426,79.97721222917444,100.0,78.62700418585264,Al Ahly,Rivals FC,M1,final-third,Marwan,Marwan,unsuccessful,,right foot,22,21,1,25,S3
carry,28.44493891229235,87.76717579959579,46.1730149331251,86.38972990389115,Al Ahly,Rivals FC,M2,build-up,Dieng,Marwan,unsuccessful,,head,44,7,1,14,
tackle,48.94678447395572,73.75814418587093,65.86591774043723,64.24197197068827,Al Ahly,Rivals FC,M3,final-third,Marwan,Zizo,unsuccessful,,left foot,84,43,2,21,S2
clearance,68.38216728107948,22.303920086308914,81.18975767261378,26.58015119591714,Al Ahly,Rivals FC,M3,progression,Salah,Zizo,successful,,left foot,57,54,1,21,S2
pass,59.385355907571316,63.77165266646014,73.57173580193368,61.320895280546736,Al Ahly,Rivals FC,M1,build-up,Kahraba,,successful,,right foot,74,9,1,10,S2
shot,88.30811030163582,26.5877944692846,83.92638634804523,32.276560870752505,Al Ahly,Rivals FC,M3,build-up,Marwan,Salah,successful,Goal,left foot,90,26,2,10,S2
pass,86.45588916948938,47.57270053422713,100.0,44.784308581305794,Al Ahly,Rivals FC,M1,build-up,Dieng,Marwan,successful,,left foot,75,54,2,18,S1
pass,16.233246904418962,5.662353336984882,8.583730438915872,0.0,Al Ahly,Rivals FC,M1,build-up,Dieng,Marwan,unsuccessful,,left foot,30,15,2,28,S1
pass,71.74216805529397,1.8799132218176084,100.0,3.244327009340523,Al Ahly,Rivals FC,M3,build-up,Dieng,,successful,,right foot,85,50,1,7,S3
recovery,44.52165356656598,91.3542981204243,50.56356977952256,100.0,Al Ahly,Rivals FC,M3,final-third,,Marwan,successful,,left foot,16,45,2,12,S1
tackle,91.26235543439023,46.08497168748406,100.0,36.35066004861074,Zamalek,Rivals FC,M1,final-third,Zizo,Marwan,successful,,right foot,49,22,2,14,S1
carry,94.82805604595224,49.34242500341378,90.00281206129807,65.1713347897645,Al Ahly,Rivals FC,M3,build-up,Marwan,Salah,successful,,head,58,8,1,18,S3
pass,44.419263299616794,63.328304592334064,50.919696561569204,68.49471022961845,Al Ahly,Rivals FC,M1,final-third,,Marwan,successful,,head,32,14,2,9,S1
carry,35.77887527220977,3.143503045962015,34.75651704450143,0.0,Al Ahly,Rivals FC,M3,final-third,Zizo,Marwan,successful,,right foot,49,9,2,9,S3
recovery,90.05862938064752,65.15848719461371,100.0,65.36923225831772,Al Ahly,Rivals FC,M2,build-up,Zizo,Salah,successful,,left foot,74,5,1,3,
duel,94.12579506873342,72.32279692289684,100.0,67.08322224104103,Al Ahly,Rivals FC,M1,build-up,Dieng,Salah,successful,,head,0,14,2,27,
pass,77.30217340854955,5.943006565828258,89.15958779748881,0.0,Al Ahly,Rivals FC,M1,final-third,Salah,Zizo,unsuccessful,,left foot,94,13,2,18,
pass,90.43591765947745,81.640083968457,100.0,92.4953032256878,Zamalek,Rivals FC,M3,final-third,,,successful,,head,43,38,1,12,S3
interception,94.7972785366784,50.865010227378214,100.0,61.54905717828721,Al Ahly,Rivals FC,M3,build-up,Salah,Salah,successful,,head,21,36,1,21,
carry,48.47387812278681,51.51663836310737,50.7559557233579,45.94424145954327,Zamalek,Rivals FC,M2,progression,Dieng,Salah,successful,,head,24,31,2,21,S3
shot,83.40581839228689,31.192621728709412,41.6256689339573,28.852953821480163,Zamalek,Rivals FC,M2,build-up,,,successful,Saved,left foot,4,5,2,10,
recovery,5.723560911991754,5.667697624152435,9.782886416616257,3.023060388393205,Al Ahly,Rivals FC,M2,final-third,,Salah,successful,,left foot,38,38,2,25,
dribble,43.85138119171259,20.51561197651108,64.00178994602331,28.753801782505136,Al Ahly,Rivals FC,M1,build-up,Dieng,Marwan,successful,,head,1,10,2,20,
duel,21.71585849820644,19.544547560575044,33.81476587523729,37.02776834205696,Al Ahly,Rivals FC,M3,build-up,,Marwan,successful,,right foot,79,20,2,11,S1
carry,72.51784282053653,79.20779228103767,71.41587134872954,71.18966327349666,Al Ahly,Rivals FC,M2,final-third,Zizo,,successful,,head,28,4,1,15,S2
pass,61.15998849720343,62.312130049322846,76.50027713195729,65.93148313046856,Al Ahly,Rivals FC,M1,progression,Salah,,successful,,right foot,42,13,1,17,
pass,93.62948917973782,94.58431439091216,100.0,94.27044581828295,Al Ahly,Rivals FC,M2,final-third,Kahraba,Salah,successful,,head,18,17,2,29,S1
block,68.91880479171857,18.63659055404938,94.84899525520744,25.29984904834487,Al Ahly,Rivals FC,M2,progression,Salah,Marwan,successful,,right foot,53,19,1,24,S1
pass,25.068744536668987,78.68574694099951,31.267933360925046,95.97961622152266,Al Ahly,Rivals FC,M3,progression,Kahraba,Salah,successful,,right foot,42,13,2,3,S1
shot,79.91891913007251,67.60069978220643,53.37585339767824,57.08347784790764,Al Ahly,Rivals FC,M1,build-up,Kahraba,Marwan,unsuccessful,Off Target,head,65,45,1,16,
clearance,50.066507861103716,46.05089228992054,83.04793393520124,21.31098002869885,Al Ahly,Rivals FC,M1,progression,Kahraba,Zizo,successful,,head,29,40,1,25,
pass,53.65759432868319,71.75993095237982,62.20121055369965,69.73795290566375,Al Ahly,Rivals FC,M2,progression,Kahraba,,successful,,left foot,37,50,2,23,S3
pass,94.07944440101367,17.113941719530246,100.0,0.0,Zamalek,Rivals FC,M1,final-third,Zizo,Marwan,successful,,right foot,61,27,1,29,S1
pass,63.2777662711512,73.78167693854485,80.29634064813062,93.90157238300714,Al Ahly,Rivals FC,M3,build-up,Salah,Salah,unsuccessful,,right foot,62,33,1,16,
pass,32.594358049314266,26.81164638210004,39.34829669526187,18.48691528486485,Al Ahly,Rivals FC,M3,progression,Dieng,Marwan,successful,,head,39,37,2,24,S3
carry,27.513368264513037,53.50681927752047,39.368265217523586,50.18342508727672,Al Ahly,Rivals FC,M2,final-third,Zizo,Marwan,unsuccessful,,left foot,30,58,1,26,S3
carry,57.58180896234624,66.52367377158075,64.30131879018343,69.5214543958752,Al Ahly,Rivals FC,M3,final-third,,Marwan,successful,,right foot,68,36,1,21,
tackle,8.536399370708903,22.405189510511047,12.408656077024615,24.991327172953362,Al Ahly,Rivals FC,M1,progression,Kahraba,Marwan,successful,,right foot,38,17,2,2,
pass,45.838610600864804,96.66926957628343,66.57696625585305,91.70871440429865,Zamalek,Rivals FC,M2,final-third,Zizo,Zizo,successful,,head,17,13,1,20,
tackle,89.6114924684494,12.008486238873017,97.61800809526636,12.116800156260425,Al Ahly,Rivals FC,M3,progression,Marwan,,successful,,head,84,28,2,2,
pass,91.78892802011795,89.82353390784857,93.39620310668984,100.0,Al Ahly,Rivals FC,M1,final-third,Marwan,Zizo,successful,,right foot,37,5,2,26,
tackle,56.045616925681166,97.06418251350762,64.93096356300781,93.4947319981652,Al Ahly,Rivals FC,M2,progression,Salah,Zizo,successful,,head,85,56,2,11,
pass,54.48968420379805,81.11935306707593,64.8424173687118,100.0,Al Ahly,Rivals FC,M1,final-third,Salah,Marwan,successful,,left foot,16,44,2,19,S3
duel,33.16262308732345,44.97464635170938,47.986905079304165,49.41491817156818,Zamalek,Rivals FC,M2,build-up,Salah,,successful,,head,65,57,1,23,S2
pass,58.86641709949091,78.93635872668597,80.13552893521829,50.84771670663769,Zamalek,Rivals FC,M1,progression,Zizo,Zizo,successful,,right foot,7,2,2,19,S3
carry,45.70703315673036,63.15005675555771,75.44246977896928,74.05273988690843,Zamalek,Rivals FC,M3,progression,Dieng,Salah,unsuccessful,,right foot,48,34,1,2,
shot,82.93746106155022,98.51104369917614,64.2200018035315,77.61233845291677,Al Ahly,Rivals FC,M3,final-third,,Salah,successful,Blocked,left foot,43,32,1,6,
dribble,95.31209315850221,69.80446715197613,100.0,74.07206440800518,Zamalek,Rivals FC,M2,build-up,Zizo,Zizo,unsuccessful,,head,45,35,2,5,
recovery,75.47882260942947,12.315640398678996,68.74309781044289,39.674364925833444,Al Ahly,Rivals FC,M2,build-up,Zizo,Marwan,successful,,right foot,27,54,2,6,S3
pass,13.7491227285355,54.54735366063744,27.68865172316867,67.7489762361644,Al Ahly,Rivals FC,M1,progression,Salah,Salah,successful,,right foot,19,13,2,4,
pass,17.23079690071928,7.879307555930126,34.213626708511946,0.0,Al Ahly,Rivals FC,M2,final-third,Kahraba,Zizo,unsuccessful,,right foot,68,5,2,4,S2
dribble,69.02501502087188,52.41670982366906,74.05856718945056,42.90507387665477,Zamalek,Rivals FC,M3,final-third,Dieng,Zizo,successful,,head,79,4,1,27,S1
pass,97.44658164437881,11.72296772011434,99.80718407793535,12.23773432338225,Al Ahly,Rivals FC,M1,build-up,,Salah,unsuccessful,,left foot,37,20,1,14,
interception,59.856819459105814,48.54975532667947,61.404664290196486,66.28413264291234,Zamalek,Rivals FC,M3,build-up,Kahraba,Salah,successful,,right foot,9,8,1,28,S3
pass,83.7965622978688,79.46830501822521,80.19317476804494,70.96253003386799,Zamalek,Rivals FC,M1,progression,Kahraba,Marwan,successful,,right foot,70,21,1,26,S2
pass,27.855706752977895,2.737678291902357,45.80400585016264,16.34219463083492,Al Ahly,Rivals FC,M3,final-third,Zizo,Salah,successful,,right foot,18,25,1,4,
pass,24.30502560439659,35.05921459989112,55.18500758223891,39.06979278412638,Al Ahly,Rivals FC,M2,final-third,Salah,Zizo,successful,,right foot,5,40,1,22,
shot,94.65812493721086,6.338116057497311,98.23564554973373,5.439421354878092,Al Ahly,Rivals FC,M3,progression,Kahraba,Zizo,successful,Off Target,left foot,8,37,2,22,
pass,87.73247766908837,31.833726416542653,100.0,30.165816269982933,Al Ahly,Rivals FC,M1,final-third,Salah,Zizo,successful,,head,20,22,1,6,
pass,44.95382336016753,37.54963810403004,55.260966038664435,58.072213164137864,Al Ahly,Rivals FC,M2,build-up,Kahraba,Salah,unsuccessful,,left foot,19,33,1,8,S2
pass,81.6006029246814,1.4669558229975954,78.94080377427159,0.0,Al Ahly,Rivals FC,M3,build-up,Dieng,Salah,successful,,right foot,39,5,1,21,S1
pass,64.26392774166246,31.796275848478807,81.38396434956195,18.47974129843106,Al Ahly,Rivals FC,M1,build-up,Salah,,successful,,right foot,20,40,2,5,
duel,78.06167828737276,67.44313017236006,97.14008967820082,78.56278954001449,Al Ahly,Rivals FC,M3,build-up,Dieng,,successful,,left foot,38,17,1,8,S3
cross,58.8531710152895,46.386464917269244,74.21573900395624,58.63531213253691,Al Ahly,Rivals FC,M1,progression,Marwan,,successful,,left foot,55,51,1,4,
clearance,68.3149057847918,12.24828769848667,77.02499907898155,0.0,Zamalek,Rivals FC,M2,progression,Zizo,,unsuccessful,,right foot,12,31,1,4,S2
